duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
0.3,3168,0,1.0,6,0.0,479,170,16,25364,7614,120,134,0.0,3817,12,36248,51,0,0,5.0,0.4,17.2,36,5.0,6949,8,479,8,165,1087440,1.0,0,7505,0,232,0,491,26625,25364,0,51062,0.0,467,36,0,32.8,22,3,1,170,163,134,0,0,0,https://github.com/avrae/avrae.git
0.0,80,0,1.0,0,0.0,20,1,1,1017,139,6,0,0.0,125,0,2610,0,0,0,1.0,0.2,17.9,8,5.0,82,0,20,0,12,78300,1.0,0,569,0,35,0,26,1070,1017,0,3605,0.0,20,8,0,4.0,2,4,0,1,12,7,0,0,4,https://github.com/baldassarreFe/deep-koalarization.git
2.4,56,0,1.0,2,0.0,9,2,0,776,155,4,51,100.0,85,0,1350,0,0,0,1.0,0.2,25.4,0,1.0,184,2,9,0,3,40500,1.0,0,459,0,18,0,13,801,776,0,2142,0.0,9,0,0,8.6,0,0,0,2,3,4,0,0,0,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch.git
10.9,518,0,1.0,13,0.0,51,6,3,4439,911,16,952,100.0,290,8,6392,40,0,0,4.0,0.2,11.2,0,1.0,527,38,51,0,26,191760,1.0,0,808,0,76,0,132,4597,4439,0,8757,0.0,43,0,0,12.0,2,6,0,4,20,19,0,0,0,https://github.com/bayesiains/nflows.git
5.1,118,0,1.0,4,0.0,99,41,0,1103,269,36,200,0.0,1025,7,3316,65,0,0,4.0,1.0,4.5,30,5.0,245,8,99,0,22,99480,1.0,0,157,0,16,0,8,1130,1103,0,3904,0.0,92,30,0,16.8,9,4,0,38,18,36,0,0,3,https://github.com/Belval/TextRecognitionDataGenerator.git
0.0,194,0,1.0,0,0.0,83,6,0,1596,355,61,0,0.0,377,3,1937,30,0,0,5.0,0.6,27.6,3,5.0,244,0,83,1,15,58110,1.0,0,740,0,37,0,27,1688,1596,0,3333,0.0,80,3,0,9.6,2,10,1,5,15,60,0,0,9,https://github.com/beringresearch/ivis.git
6.9,450,0,1.0,18,0.0,163,15,24,4818,845,46,916,0.0,578,6,7187,34,0,0,4.0,0.3,18.0,2,5.0,636,40,163,0,78,215610,1.0,0,1576,0,87,0,114,4911,4818,0,13199,0.0,157,2,0,9.8,1,14,0,14,73,70,0,0,9,https://github.com/bethgelab/foolbox.git
0.0,56,0,1.0,0,0.0,20,2,6,752,141,0,0,0.0,79,0,1811,0,0,0,1.0,0.1,8.0,2,5.0,131,0,20,0,12,54330,1.0,0,157,0,32,0,14,765,752,0,2275,0.0,20,2,0,4.4,0,1,0,2,12,6,0,0,1,https://github.com/beyretb/AnimalAI-Olympics.git
15.3,3391,0,1.0,108,0.0,828,246,39,37404,9250,146,14752,0.0,8151,33,61669,229,0,0,4.0,0.4,25.4,6,5.0,10090,804,828,2,395,1850070,1.0,0,21015,0,302,0,727,38869,37404,0,96303,0.0,795,6,0,30.6,23,30,3,247,367,179,0,0,5,https://github.com/bhoov/exbert.git
20.8,480,0,1.0,22,0.0,623,54,0,7835,1599,100,4246,0.0,3579,7,12722,37,0,0,5.0,0.9,28.4,26,5.0,2102,259,623,2,467,381660,1.0,0,5034,0,80,0,93,8282,7835,0,20385,0.0,616,26,0,20.0,1,15,0,55,465,96,0,0,9,https://github.com/BindsNET/bindsnet.git
